t,regime,is_switch,N_US,N_W,e_US,e_W,phi_US,phi_W,q_US,d_US,q_US_over_d_US,Q_US,aggregate_price_dividend_US,Y_US,Y_W,Y_W_over_Y_US,omega,omega_star,theta,theta_US_star,R_f,R_f_W,I_US,I_W,Psi,nu_b_eff,bgp_converged,bgp_residual,common_growth_log_gap,NFA_US,NFA_US_over_Y,all_u_q_US,all_u_d_US,all_u_q_US_over_d_US,all_u_Y_US,all_u_e_US,all_u_Q_US,all_u_NFA_US,all_u_NFA_US_over_Y,original_helper_finite
11,u,false,1.0829785489198915,1.5306658668075124,3.1006722376064313,7.798664471843722,0.9249687048049748,0.7672248379669192,1.2475601333940038,0.04072779108535672,30.631666980892366,1.371355532365465,31.091333710404175,3.124504892284643,8.124985495544706,2.600407352732197,0.44359050227700786,0.20325717915688027,-0.11608512893088509,0.04614302757285063,1.0812009658787123,1.091711537078265,0.020274669412120347,0.14212643881591747,0.9395180944141246,,,,,0.023946974557429224,0.007664246139144035,1.2475601333940038,0.04072779108535672,30.631666980892366,3.124504892284643,3.1006722376064313,1.371355532365465,0.023946974557429224,0.007664246139144035,true
12,u,false,1.0992300055586692,1.5948000459371448,3.1847077221550846,8.125960859911968,0.9198526202785366,0.767908385953293,1.2666350542813243,0.04112179671590552,30.802035792161824,1.414641469925384,31.295776283927523,3.2075918228207736,8.466287564547645,2.639452908039386,0.4428579122946175,0.20251098102186868,-0.11402176183807058,0.04467622561583364,1.0807857716246532,1.0916407198581906,0.022318212166918525,0.14741415036530708,0.9384794025355758,,,,,0.018477005044404082,0.0057603978514184214,1.2666350542813243,0.04112179671590552,30.802035792161824,3.2075918228207736,3.1847077221550846,1.414641469925384,0.018477005044404082,0.0057603978514184214,true
13,u,false,1.1168500864900166,1.6614251949509413,3.2769705815100547,8.465856742887661,0.9150132309264205,0.768424569204333,1.2858134247987374,0.04152481045389384,30.964943867146896,1.4604700688032868,31.491265973909606,3.2989383355501753,8.820662046895706,2.67378809474614,0.4421275125943819,0.20176435592028746,-0.1118811018025655,0.04329644467764328,1.0802419370588014,1.09144076155964,0.024409234106792556,0.15304893916343534,0.9374316875635094,,,,,0.01416669287623784,0.004294318788433859,1.2858134247987374,0.04152481045389384,30.964943867146896,3.2989383355501753,3.2769705815100547,1.4604700688032868,0.01416669287623784,0.004294318788433859,true
14,u,false,1.1358335825680834,1.7306793408969383,3.3776965008407194,8.819053027708279,0.9104347980681191,0.7687876791958623,1.3050952447947193,0.04193661619956505,31.120661681050347,1.508924779212477,31.678127350593748,3.3987757461347328,9.18883855594198,2.7035730634455692,0.4413985408034209,0.20101659206213635,-0.10967180526213244,0.041994028203428145,1.0795804146838845,1.091123203792403,0.026553771724721315,0.15904555305229562,0.9363743552441487,,,,,0.011038646165846933,0.003247830098352521,1.3050952447947193,0.04193661619956505,31.120661681050347,3.3987757461347328,3.3776965008407194,1.508924779212477,0.011038646165846933,0.003247830098352521,true
15,u,false,1.1561798154048277,1.8027071305527185,3.487163212998988,9.186283918095988,0.9061011047073206,0.7690105461933353,1.324484378921535,0.042357062079119746,31.26950534122267,1.560100371117905,31.85673974280054,3.507377326824889,9.571580928440508,2.728985232137923,0.4406703974795229,0.20026722154709029,-0.10740336764797583,0.040760939254195334,1.0788112943974528,1.0906986456596568,0.028758266389826613,0.1654201800491088,0.9353070944712838,,,,,0.009123074731639758,0.002601110140578622,1.324484378921535,0.042357062079119746,31.26950534122267,3.507377326824889,3.487163212998988,1.560100371117905,0.009123074731639758,0.002601110140578622,true
16,b,true,1.1778926168900692,1.877660270935474,2.037578620606956,9.603756723517849,0.7790665642762586,0.807362605143565,1.0624933269970707,0.02921481267635504,36.36830873322689,1.3068028188910503,37.9753038132056,2.0166907592360257,10.024345367487426,4.9706903855130005,0.4383338214185767,0.2007189349172168,-0.1708936840222995,0.036248756290172636,1.1060724127157437,1.119796085023103,0.055299773526234816,0.1318005172468132,0.9368595763843617,0.7883546449126457,true,6.544366243157431e-10,9.614995952200722e-10,-0.3898924396179201,-0.19333278433110954,1.3439880484965834,0.04278605406384587,31.411825135617043,3.6250594010592048,3.6056916063773063,1.6141031820183824,0.008458040851405446,0.0023332144154476738,true
17,b,false,1.2299397894426995,1.9427676358787929,2.1082311104351854,9.936764405207471,0.7790665642762586,0.807362605143565,1.0528146072461348,0.028948682078368412,36.3683087332269,1.3521158546362428,37.975303813205606,2.0866189680975644,10.371936847299537,4.970690387596713,0.4383338214185767,0.2007189349172168,-0.17089368409393826,0.036248756290172636,1.1060724127157437,1.119796085023103,0.05721727827773339,0.1363706647377814,0.9368595763890006,0.7883546382414786,true,7.268325158884115e-10,6.730497201234975e-10,-0.40341185494040943,-0.19333278433110987,1.3636163771798553,0.04322355028485269,31.54799566887319,3.752182739567057,3.733647137987659,1.6710514494747009,0.0090897626197457,0.0024225266333362315,true
18,b,false,1.2842867541256817,2.0101325811924684,2.1813334561511666,10.28131903870531,0.7790665642762586,0.807362605143565,1.0432240551375032,0.02868497577904662,36.3683087332269,1.3990001075838587,37.97530381320561,2.1589719186011282,10.731580968197802,4.9706903900589685,0.4383338214185767,0.2007189349172168,-0.1708936841785912,0.036248756290172636,1.1060724127157437,1.119796085023103,0.059201271985483424,0.14109928086396814,0.9368595763944823,0.7883546335716616,true,8.233643281063685e-10,4.711348047803376e-10,-0.41740005231583377,-0.19333278433110956,1.3833819902955609,0.04366955601660353,31.67840748757756,3.889154284506966,3.871441578116933,1.7310757320943237,0.011072978058296101,0.002847142912896766,true
19,b,false,1.3410351311343776,2.079833387868721,2.2569706060246704,10.637821011460039,0.7790665642762586,0.807362605143565,1.0337208676009653,0.028423671696796146,36.36830873322689,1.4475100593805337,37.9753038132056,2.2338336881849727,11.103695652270616,4.970690392485107,0.4383338214185767,0.2007189349172168,-0.17089368426200247,0.036248756290172636,1.1060724127157437,1.119796085023103,0.06125406014093074,0.1459918604826834,0.9368595763998836,0.7883546303027895,true,9.017966096092067e-10,3.297943584890106e-10,-0.4318732866694319,-0.19333278433110937,1.4032996690325812,0.04412411933160147,31.80346010957198,4.036429226346966,4.019535111576004,1.7943194268755809,0.014471373333620807,0.003585191891675414,true
20,b,false,1.4002910309239287,2.1519510512721247,2.3352304538019526,11.00668459424745,0.7790665642762586,0.807362605143565,1.0243042488352063,0.02816474794989242,36.36830873322688,1.497702080756805,37.9753038132056,2.311291269568826,11.488713312942403,4.970690394675196,0.4383338214185767,0.2007189349172168,-0.17089368433729835,0.036248756290172636,1.1060724127157437,1.119796085023103,0.06337802817559347,0.1510540889839365,0.9368595764047594,0.7883546280145792,true,9.727653010693595e-10,2.3085605649342256e-10,-0.44684837654592635,-0.1933327843311096,1.4233860406474435,0.04458732715354025,31.923556120462045,4.194513462597754,4.178438822526659,1.8609393649255261,0.01935810521147041,0.004615101461489055,true
21,b,false,1.4621652526189615,2.226569375259738,2.4162039408811604,11.388338422371232,0.7790665640990557,0.8073626049617906,1.0149734106711306,0.027908182860122036,36.368308741499064,1.5496344977283423,37.975303823132215,2.391434671810108,11.887081357161827,4.970690396557788,0.43833382065575105,0.2007189341577738,-0.17089368040295186,0.036248755442742496,1.106072412098339,1.119796084722853,0.06557564431285968,0.1562918491072056,0.9368595752475604,0.788354626412832,true,3.5737004317417016e-16,1.5673376485558776e-10,-0.4623427243318201,-0.19333278461747272,1.4436593185989322,0.045059301899919885,32.03909642908824,4.363966455917596,4.3487175826769295,1.9311065110820462,0.025816401122572108,0.00591581108227006,true
22,b,false,1.5267734912421773,2.303775069637678,2.4999851620720124,11.783225994921079,0.7790665640990557,0.8073626049617906,1.0057275708849414,0.0276539549318478,36.368308741499064,1.6033676567644966,37.9753038231322,2.474357025263983,12.299262706866994,4.970690398066066,0.43833382065575105,0.20071893415777378,-0.17089368045480682,0.036248755442742496,1.106072412098339,1.119796084722853,0.06784946212598046,0.16171122694919465,0.9368595752509181,0.7883546253253669,true,5.240322251445451e-11,1.0971362707223875e-10,-0.47837433383209094,-0.19333278461747225,1.4641390747171705,0.04554019846788653,32.15047636978644,4.545404524391273,4.530993373839707,2.0050067526436393,0.033940265584229135,0.007466940599478208,true
23,b,false,1.5942365538947,2.383657850708093,2.5866714747034862,12.191806187866538,0.7790665640990557,0.8073626049617906,0.9965659555830959,0.02740204287932523,36.368308741499064,1.658963998721297,37.975303823132215,2.560154689149373,12.725736334040453,4.970690399285465,0.43833382065575105,0.20071893415777378,-0.1708936804967301,0.036248755442742496,1.106072412098339,1.119796084722853,0.07020212396372329,0.16731852026062122,0.936859575253633,0.7883546245641414,true,9.476961592644066e-11,7.679953895056713e-11,-0.494961835104728,-0.19333278461747253,1.4848460533984642,0.04603020170691593,32.2580827008492,4.739504588442987,4.725949071355309,2.082841800592691,0.043835281517198066,0.00924891635806998,true
24,b,false,1.6646805857928675,2.4663105457321945,2.6763636120294056,12.614553789137979,0.7790665640990557,0.8073626049617906,0.9874877975191525,0.0271524256059879,36.36830874149906,1.7164881289586416,37.9753038231322,2.6489273640717284,13.166997819560331,4.970690400253569,0.43833382065575105,0.20071893415777378,-0.1708936805300138,0.036248755442742496,1.106072412098339,1.119796084722853,0.07263636372115029,0.17312024495985895,0.9368595752557882,0.7883546240312835,true,1.284050661482937e-10,5.3759670326503084e-11,-0.512124503545409,-0.19333278461747264,1.5058020058476498,0.046529524081954314,32.36229115938131,4.947008414574759,4.934332726177107,2.1648301826757876,0.0556195441039109,0.011243066403535097,true
25,b,false,1.7382373060922305,2.5518292007315155,2.7691658001985653,13.051960049809589,0.7790665640990557,0.8073626049617906,0.9784923364353948,0.026905082207434608,36.36830874149906,1.7760068930076574,37.9753038231322,2.7407782077247025,13.623559928438434,4.970690401011409,0.43833382065575105,0.20071893415777378,-0.17089368055606863,0.036248755442742496,1.106072412098339,1.119796084722853,0.07515501009030429,0.17912314290299894,0.9368595752574754,0.788354623658283,true,1.5473526049800732e-10,3.763176575910521e-11,-0.529882282918303,-0.19333278461747277,1.5270295728799832,0.04703840392994291,32.46346485638159,5.168727382916313,5.1569623775754465,2.2512083819626865,0.06942468794626455,0.01343167917420585,true
26,b,false,1.815044254181462,2.6403131920975595,2.8651858793726843,13.50453325495444,0.7790665640990557,0.8073626049617906,0.9695788190002528,0.026659991969708734,36.36830874149906,1.8375894542498,37.9753038231322,2.835813954766485,14.09595320567547,4.970690401598014,0.43833382065575105,0.20071893415777378,-0.17089368057623613,0.036248755442742496,1.106072412098339,1.119796084722853,0.07776098984734348,0.18533418971817925,0.9368595752587813,0.7883546233971827,true,1.751160547318881e-10,2.6342233949705474e-11,-0.5482558085320919,-0.19333278461747255,1.5485521759331677,0.047557103765974225,32.56195296403044,5.405547839221789,5.394731452022255,2.342232075516479,0.08539707789353601,0.015798043127822955,false
27,b,false,1.8952450468591773,2.7318653420714845,2.9645354290428303,13.97279931429388,0.7790665640990557,0.8073626049617906,0.9607464987456726,0.02641713436757609,36.36830874149906,1.9013073742886553,37.9753038231322,2.9341450408515697,14.5847265927774,4.970690402047921,0.43833382065575105,0.20071893415777378,-0.17089368059170407,0.036248755442742496,1.106072412098339,1.119796084722853,0.08045733125362242,0.19176060291156827,0.9368595752597829,0.7883546232144124,true,1.907475361831149e-10,1.8439555438121147e-11,-0.5672664312193816,-0.1933327846174725,1.5703939588227267,0.04808590923367129,32.65809015259478,5.658437064418902,5.648614788806104,2.4381775525202,0.1036991024425471,0.018326456804587003,false
28,b,false,1.978989646874546,2.826592038228012,3.067329897690395,14.457302373327384,0.7790665640990557,0.8073626049617906,0.9519946360047147,0.0261764890628091,36.36830874149906,1.9672346961081162,37.97530382313221,3.035885730962535,15.090448065649284,4.97069040239035,0.43833382065575105,0.20071893415777378,-0.1708936806034769,0.036248755442742496,1.106072412098339,1.119796084722853,0.0832471675746839,0.19840985025441954,0.9368595752605453,0.7883546230864732,true,2.0264472584484848e-10,1.2907681867790899e-11,-0.5869362421474384,-0.19333278461747272,1.5925797302615647,0.04862512802758832,32.7521961352572,5.928449943047029,5.919675367019991,2.539343252678529,0.12451066248046727,0.021002228858572915,false
29,b,false,2.066434643333824,2.92460335710241,3.1736887369435616,14.95860544565334,0.7790665640990557,0.8073626049617906,0.9433224978495417,0.025938035902481706,36.36830874149906,2.0354480301137476,37.975303823132194,3.1411542521912286,15.61370529460798,4.970690402649301,0.43833382065575105,0.20071893415777378,-0.17089368061237972,0.036248755442742496,1.106072412098339,1.119796084722853,0.08613374072125808,0.20528965846094752,0.9368595752611217,0.7883546229969158,true,2.1164172447798166e-10,9.035376613564239e-12,-0.6072880984891449,-0.19333278461747255,1.615134956808783,0.049175089476719384,32.84457586139065,6.216736376383212,6.2090717888143745,2.6460515222714287,0.14803078269503978,0.023811655140693208,false
30,b,false,2.1577435444971207,3.0260131921042084,3.283735540385359,15.477291067215251,0.7790665640990557,0.8073626049617906,0.9347293580298991,0.025701754917277757,36.36830874149906,2.1060266431574584,37.97530382313221,3.2500729311238565,16.155106327280546,4.970690402844038,0.43833382065575105,0.20071893415777378,-0.17089368061907487,0.036248755442742496,1.106072412098339,1.119796084722853,0.08912040501650577,0.21240802216710364,0.9368595752615554,0.7883546229342256,true,2.1840760037578454e-10,6.324760160048015e-12,-0.6283456499840467,-0.1933327846174727,1.6380857567906448,0.0497361441266576,32.935519742324836,6.52454954355095,6.518066615460343,2.7586505311402085,0.17447944581694586,0.02674199109874279,false
